Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,home_odds,draw_odds,away_odds,over25_odds,under25_odds
E0,23/09/2023,15:00,Luton,Wolves,1,1,D,0,0,D,J Smith,3.25,3.4,2.2,2.1,1.73
E0,23/09/2023,15:00,Man City,Nott'm Forest,2,0,H,2,0,H,A Taylor,1.14,8.5,15,1.5,2.63
E0,23/09/2023,17:30,Brentford,Everton,1,3,A,1,1,D,M Oliver,1.8,3.8,4.2,2.1,1.73
E0,23/09/2023,20:00,Burnley,Man United,0,1,A,0,1,A,T Harrington,4.2,4.2,1.73,1.73,2.1
E0,24/09/2023,14:00,Arsenal,Tottenham,2,2,D,1,1,D,R Jones,1.67,4.33,4.33,1.53,2.5
E0,24/09/2023,14:00,Brighton,Bournemouth,3,1,H,1,1,D,J Brooks,1.36,5.25,7.5,1.44,2.75
E0,24/09/2023,14:00,Chelsea,Aston Villa,0,1,A,0,0,D,J Gillett,1.91,3.75,3.8,1.73,2.1
E0,24/09/2023,14:00,Liverpool,West Ham,3,1,H,1,1,D,C Kavanagh,1.4,5,7,1.4,3
E0,24/09/2023,16:30,Sheffield United,Newcastle,0,8,A,0,3,A,S Attwell,7,4.75,1.44,1.85,2.05
E0,30/09/2023,12:30,Aston Villa,Brighton,6,1,H,3,0,H,A Madley,2.55,3.75,2.55,1.5,2.63
E0,30/09/2023,15:00,Bournemouth,Arsenal,0,4,A,0,2,A,M Salisbury,5.5,4.5,1.53,1.62,2.3
E0,30/09/2023,15:00,Everton,Luton,1,2,A,1,2,A,A Taylor,1.57,3.8,6.5,2.03,1.87
E0,30/09/2023,15:00,Man United,Crystal Palace,0,1,A,0,1,A,C Kavanagh,1.55,4.2,5.75,1.82,2.08
E0,30/09/2023,15:00,Newcastle,Burnley,2,0,H,1,0,H,T Bramall,1.3,5.75,9,1.67,2.2
E0,30/09/2023,15:00,West Ham,Sheffield United,2,0,H,2,0,H,G Scott,1.45,4.5,7,1.73,2.1
E0,30/09/2023,15:00,Wolves,Man City,2,1,H,1,0,H,C Pawson,8,5.75,1.33,1.67,2.2
E0,30/09/2023,17:30,Tottenham,Liverpool,2,1,H,1,1,D,S Hooper,2.9,4,2.15,1.36,3.2
E0,01/10/2023,14:00,Nott'm Forest,Brentford,1,1,D,0,0,D,P Tierney,2.75,3.1,2.7,2.1,1.73
E0,02/10/2023,20:00,Fulham,Chelsea,0,2,A,0,2,A,T Robinson,3.6,3.5,2.05,2.01,1.89
E0,03/10/2023,19:30,Luton,Burnley,1,2,A,0,1,A,P Bankes,2.9,3,2.63,2.2,1.65
E0,07/10/2023,12:30,Luton,Tottenham,0,1,A,0,0,D,J Brooks,6,4.75,1.45,1.48,2.6
E0,07/10/2023,15:00,Burnley,Chelsea,1,4,A,1,1,D,S Attwell,4.5,3.8,1.73,1.85,2.05
E0,07/10/2023,15:00,Everton,Bournemouth,3,0,H,2,0,H,D Coote,1.91,3.6,3.8,1.86,2.04
E0,07/10/2023,15:00,Fulham,Sheffield United,3,1,H,0,0,D,S Barrott,1.62,3.8,6,1.73,2.08
E0,07/10/2023,15:00,Man United,Brentford,2,1,H,0,1,A,A Madley,1.67,4.2,4.75,1.62,2.25
E0,07/10/2023,17:30,Crystal Palace,Nott'm Forest,0,0,D,0,0,D,C Pawson,2.2,3.1,3.6,2.35,1.57
E0,08/10/2023,14:00,Brighton,Liverpool,2,2,D,1,2,A,A Taylor,3,3.8,2.2,1.3,3.5
E0,08/10/2023,14:00,West Ham,Newcastle,2,2,D,1,0,H,P Bankes,3.2,3.75,2.1,1.73,2.08
E0,08/10/2023,14:00,Wolves,Aston Villa,1,1,D,0,0,D,R Jones,3.5,3.4,2.1,1.84,2.06
E0,08/10/2023,16:30,Arsenal,Man City,1,0,H,0,0,D,M Oliver,2.9,3.3,2.4,2.08,1.82
E0,21/10/2023,12:30,Liverpool,Everton,2,0,H,0,0,D,C Pawson,1.33,5.75,7.5,1.4,2.88
E0,21/10/2023,15:00,Bournemouth,Wolves,1,2,A,1,0,H,P Tierney,2.38,3.4,3,1.96,1.94
E0,21/10/2023,15:00,Brentford,Burnley,3,0,H,1,0,H,J Smith,1.83,3.75,4.2,1.92,1.98
E0,21/10/2023,15:00,Man City,Brighton,2,1,H,2,0,H,R Jones,1.4,5.25,6.5,1.33,3.4
E0,21/10/2023,15:00,Newcastle,Crystal Palace,4,0,H,3,0,H,T Robinson,1.45,4.5,7,2.01,1.89
E0,21/10/2023,15:00,Nott'm Forest,Luton,2,2,D,0,0,D,S Barrott,1.67,3.75,5.5,2.1,1.7
